person_id,first_name,last_name,father_name,gender,fin_code,id_card_number,military_ticket_number,has_driving_license,driving_license_number,birth_date,age,home_region,education_level,university_admission_year,university_graduation_year,rank_group,rank,specialization,is_leadership,officer_commissioning_source,military_academy_type,years_as_enlisted_before_commission,prior_enlisted_specialization,department,total_military_service_years,uav_service_years,current_department_years,rotation_count,last_rotation_date,contract_start_date,contract_end_date,contract_length_years,pua_course_cohort
G20209,Anar,Abbasov,Sənan oğlu,M,UFKYEZ8,YK9906992,HB206714,True,SV9172918,2000-01-18,26,Sumqayıt,Vocational/Technical College,2018,2020,Warrant Officer,Senior Warrant Officer,Technical Service,False,,,,,Alpha,6.1,5.84,2.84,1,2023-08-28,2021-11-09,2026-11-09,5,3
G23995,Aytac,Nəsirova,Rəşad qızı,F,ZBQPFP6,JK8757247,HB230351,True,SV0213810,2002-09-25,23,Sumqayıt,Vocational/Technical College,2021,2023,Warrant Officer,Junior Warrant Officer,Technical Service,False,,,,,Alpha,2.87,2.33,2.33,0,,2026-04-18,2029-04-18,3,3
G15195,Kamran,Xəlilov,Vüqar oğlu,M,6FDGGYZ,TG2205813,HB156847,True,SV2661012,1994-10-08,31,Sumqayıt,Vocational/Technical College,2013,2015,Warrant Officer,Senior Warrant Officer,Technical Service,False,,,,,Alpha,10.54,4.07,1.07,1,2025-06-05,2026-05-07,2031-05-07,5,4
G10686,Ramin,Musaov,Orxan oğlu,M,WNMNFBQ,GW5160684,HB101364,True,SV2035969,1989-04-04,37,Bərdə,Vocational/Technical College,2008,2010,Warrant Officer,Senior Warrant Officer,Technical Service,False,,,,,Alpha,15.55,2.54,2.54,0,,2025-01-10,2028-01-10,3,2
G11957,Murad,Yusifov,Vaqif oğlu,M,SU9E8Q8,EF1006281,HB110063,True,SV3780558,1990-09-25,35,Salyan,Vocational/Technical College,2009,2011,Warrant Officer,Senior Warrant Officer,Technical Service,False,,,,,Alpha,14.81,1.39,1.39,0,,2021-06-30,2028-06-30,7,4
G17797,Rəşad,Tağıov,Cavid oğlu,M,EUU8DD2,UW8826541,HB179986,True,SV6643860,1995-03-04,31,Xaçmaz,Vocational/Technical College,2015,2017,Warrant Officer,Senior Warrant Officer,Technical Service,False,,,,,Alpha,9.49,1.06,1.06,0,,2023-07-23,2028-07-23,5,3
G19538,Zaur,Nəsirov,Şahin oğlu,M,5X9HKZ2,HT6049445,HB192430,True,SV0707475,1997-09-10,28,Bərdə,Vocational/Technical College,2017,2019,Warrant Officer,Senior Warrant Officer,Technical Service,False,,,,,Alpha,7.01,1.1,1.1,0,,2024-05-17,2031-05-17,7,1
G24344,Nicat,Əliov,Tural oğlu,M,7YJ4SWD,AJ5185318,HB244466,True,SV6231598,2004-01-15,22,Lənkəran,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,Technical Service,False,,,,,Alpha,2.11,2.11,2.11,0,,2026-04-29,2029-04-29,3,2
G22249,Elvin,Musaov,Şahin oğlu,M,7WVAJ3K,ZR4332468,HB222012,True,SV1568366,2001-07-08,24,Şamaxı,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,Technical Service,False,,,,,Alpha,4.44,3.05,0.05,1,2026-06-12,2024-02-27,2027-02-27,3,1
G22769,Ramin,Nəsirov,Tofiq oğlu,M,Y6KE263,VQ6676924,HB227008,True,SV0751725,2002-01-01,24,Xaçmaz,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,Technical Service,False,,,,,Alpha,3.53,2.68,2.68,0,,2025-07-08,2028-07-08,3,3
G08859,Namiq,Rəhimov,Rəşad oğlu,M,RZZT786,RF2848354,HB082905,True,SV0656411,1987-10-17,38,Goranboy,Vocational/Technical College,2006,2008,Warrant Officer,Senior Warrant Officer,Technical Service,False,,,,,Alpha,17.69,5.23,2.23,1,2024-04-07,2020-05-10,2027-05-10,7,5
G22733,Fərid,İbrahimov,Cavid oğlu,M,969E5FC,HZ3042751,HB227475,False,,2002-05-08,24,Sumqayıt,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,Technical Service,False,,,,,Alpha,3.55,1.27,1.27,0,,2025-07-15,2032-07-15,7,2
G11223,Elvin,Rüstəmov,Tural oğlu,M,TZ862SA,AT2831530,HB115271,True,SV9455461,1990-09-16,35,Xaçmaz,Vocational/Technical College,2009,2011,Warrant Officer,Senior Warrant Officer,Repair Specialist,False,,,,,Alpha,14.56,4.17,1.17,1,2025-04-29,2021-08-31,2026-08-31,5,3
G13364,Anar,Məmmədov,Anar oğlu,M,ZEZUFMW,AX2509660,HB137941,True,SV4354166,1991-09-19,34,Şamaxı,Vocational/Technical College,2011,2013,Warrant Officer,Senior Warrant Officer,Repair Specialist,False,,,,,Alpha,13.28,1.82,1.82,0,,2020-10-25,2027-10-25,7,4
G25102,Nigar,Quliyova,Zaur qızı,F,6SVK3RV,UV9341596,HB252933,True,SV2001549,2004-01-09,22,Salyan,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,Repair Specialist,False,,,,,Alpha,1.15,1.15,1.15,0,,2024-09-04,2027-09-04,3,1
G13541,Ramin,Kərimov,Nicat oğlu,M,B455MXP,CW8016389,HB134773,True,SV7331448,1991-11-14,34,Xaçmaz,Vocational/Technical College,2011,2013,Warrant Officer,Senior Warrant Officer,Repair Specialist,False,,,,,Alpha,13.18,1.51,1.51,0,,2025-10-21,2028-10-21,3,4
G23338,Aqşin,Əliov,Kamran oğlu,M,D7RUQV2,QW8784484,HB235909,True,SV6085772,2001-11-24,24,Qazax,Vocational/Technical College,2021,2023,Warrant Officer,Warrant Officer,Repair Specialist,False,,,,,Alpha,3.3,3.3,0.3,1,2026-03-13,2024-05-28,2027-05-28,3,5
G21587,Şahin,Vəliov,Elşən oğlu,M,XWE46VA,YN4417332,HB210287,True,SV5380450,2000-08-25,25,Xaçmaz,Vocational/Technical College,2019,2021,Warrant Officer,Warrant Officer,Repair Specialist,False,,,,,Alpha,4.8,4.5,1.5,1,2024-12-30,2024-07-04,2027-07-04,3,4
G08482,Cavid,Rüstəmov,Tural oğlu,M,TACVVKS,ES9302456,HB089106,True,SV6717238,1987-05-21,39,Şamaxı,Vocational/Technical College,2006,2008,Warrant Officer,Senior Warrant Officer,Repair Specialist,False,,,,,Alpha,18.48,5.9,2.9,1,2023-08-06,2026-05-29,2031-05-29,5,5
G25255,Zaur,Quliyov,Elçin oğlu,M,ZPJGD5G,VE3706618,HB251230,True,SV5590754,2004-03-29,22,Bərdə,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,Repair Specialist,False,,,,,Alpha,1.21,1.21,1.21,0,,2026-01-03,2029-01-03,3,4
AO97199,Günel,Yusifova,Nicat qızı,F,FUU5EZ8,AU2226573,HB972900,False,,1975-05-15,51,Gəncə,Higher Civilian Education,1993,1997,Officer,Lieutenant Colonel,Department Commander,True,Civilian Direct Commission,,,,Beta,28.65,5.82,2.82,1,2023-09-04,2019-08-28,2029-08-28,10,1
AO16486,Murad,Nəsirov,Emin oğlu,M,UNNU6CJ,ZF4837808,HB167803,True,SV2521168,1992-10-29,33,Lənkəran,Higher Military Education,2012,2016,Officer,Captain,Chief of Operations,True,Military Academy,Military Aviation School,,,Beta,10.26,3.61,0.61,1,2025-11-20,2018-02-23,2028-02-23,10,4
AO12560,Elvin,Tağıov,Anar oğlu,M,BUFWBUB,GE9550762,HB127983,True,SV4981867,1989-09-17,36,Naxçıvan,Higher Military Education,2008,2012,Officer,Major,Pilot-Operator Lead,True,Military Academy,General Military Academy,,,Beta,13.82,3.39,0.39,1,2026-02-08,2025-09-08,2030-09-08,5,5
G15848,Vüqar,Cəfərov,Murad oğlu,M,CNEAS7X,VQ1958570,HB152800,True,SV9509644,1993-11-24,32,Gəncə,Vocational/Technical College,2013,2015,Warrant Officer,Senior Warrant Officer,Technical Service Lead,True,,,,,Beta,11.28,2.32,2.32,0,,2024-10-14,2029-10-14,5,5
AO13826,Murad,Sultanov,Rəşad oğlu,M,PJ27CVT,GA7055328,HB130590,True,SV1452556,1990-10-17,35,Goranboy,Higher Military Education,2009,2013,Officer,Major,Training & Standardization Lead,True,Military Academy,General Military Academy,,,Beta,12.74,4.84,1.84,1,2024-08-27,2022-06-23,2027-06-23,5,2
AO21460,Namiq,Nəsirov,Murad oğlu,M,MYZ5XZQ,SD2435671,HB216854,False,,1998-03-28,28,Bakı,Higher Civilian Education,2017,2021,Officer,Senior Lieutenant,Operations Officer,False,Civilian Direct Commission,,,,Beta,4.69,3.41,0.41,1,2026-02-01,2023-09-23,2028-09-23,5,1
AO18804,Tural,Hacıov,Fuad oğlu,M,N9VSYV8,VR4268205,HB184616,True,SV2102019,1995-09-30,30,Goranboy,Higher Military Education,2014,2018,Officer,Captain,Operations Officer,False,Military Academy,General Military Academy,,,Beta,7.55,1.44,1.44,0,,2024-08-24,2029-08-24,5,3
AO17999,Namiq,Nağıov,Fuad oğlu,M,47M8JVG,YP2410298,HB174592,False,,1995-01-17,31,İmişli,Higher Military Education,2013,2017,Officer,Captain,Operations Officer,False,Military Academy,General Military Academy,,,Beta,9.05,1.08,1.08,0,,2017-04-22,2027-04-22,10,5
AO21945,Kənan,Şıxəliov,Nicat oğlu,M,X65RJN3,FS8435722,HB211319,True,SV7351325,1998-12-24,27,Naxçıvan,Higher Civilian Education,2017,2021,Officer,Senior Lieutenant,Operations Officer,False,Civilian Direct Commission,,,,Beta,4.63,2.89,2.89,0,,2025-04-11,2030-04-11,5,2
AO22715,Zaur,Vəliov,Vüqar oğlu,M,M2DC8RA,WY8338852,HB225983,True,SV7537154,1998-08-06,27,İmişli,Higher Military Education,2018,2022,Officer,Senior Lieutenant,Operations Officer,False,Military Academy,Military Aviation School,,,Beta,4.43,4.43,1.43,1,2025-01-24,2025-06-27,2030-06-27,5,1
AO16664,Səbinə,Cəfərova,Elçin qızı,F,AXNDM5F,GG9314473,HB168113,True,SV4596878,1993-05-16,33,İmişli,Higher Military Education,2012,2016,Officer,Captain,Operations Officer,False,Military Academy,Military Aviation School,,,Beta,9.75,1.87,1.87,0,,2019-07-08,2029-07-08,10,4
AO24322,Ülviyyə,Tağıova,Elnur qızı,F,95SZ3KT,PK6084643,HB249402,True,SV5920189,2000-06-23,26,Şəki,Higher Military Education,2020,2024,Officer,Lieutenant,Operations Officer,False,Military Academy,Military Aviation School,,,Beta,2.42,2.42,2.42,0,,2026-06-12,2031-06-12,5,5
AO24715,Kənan,Səfərov,Fuad oğlu,M,QCVQ85W,YL6490336,HB248756,True,SV6387975,2002-01-25,24,Zaqatala,Higher Military Education,2020,2024,Officer,Lieutenant,Operations Officer,False,Military Academy,General Military Academy,,,Beta,2.08,2.08,2.08,0,,2023-02-16,2028-02-16,5,4
AO16557,Kamran,İbrahimov,Rövşən oğlu,M,DC6TAN2,BG1683226,HB165261,True,SV8068349,1996-03-16,30,İmişli,In-Service Officer Commissioning Program,2014,2016,Officer,Captain,Operations Officer,False,Prior Enlisted (Gizir) Commission,,3.56,UAV Operator,Beta,10.04,4.09,1.09,1,2025-05-28,2018-12-30,2028-12-30,10,3
AO20423,Tofiq,Qaraov,Vaqif oğlu,M,USWKMT3,LJ2308834,HB200343,True,SV9940422,1996-09-16,29,Bakı,Higher Military Education,2016,2020,Officer,Senior Lieutenant,Operations Officer,False,Military Academy,Military Aviation School,,,Beta,5.89,3.7,0.7,1,2025-10-18,2023-04-19,2030-04-19,7,5
AO15870,Tofiq,Qaraov,Rövşən oğlu,M,4HCWS3V,SG6521011,HB159249,True,SV4743190,1993-02-03,33,Şirvan,Higher Civilian Education,2011,2015,Officer,Captain,Operations Officer,False,Civilian Direct Commission,,,,Beta,10.58,3.8,0.8,1,2025-09-11,2025-09-04,2030-09-04,5,3
AO17162,Vüsal,Səfərov,Fərid oğlu,M,P3RMYBC,UD2351823,HB176916,True,SV9739291,1994-05-18,32,Şirvan,Higher Civilian Education,2013,2017,Officer,Captain,Operations Officer,False,Civilian Direct Commission,,,,Beta,8.69,4.64,1.64,1,2024-11-08,2025-09-30,2030-09-30,5,5
AO24225,Tural,Qaraov,Fuad oğlu,M,7SJWG65,FC6312170,HB243677,True,SV7453010,2001-12-16,24,Yevlax,Higher Military Education,2020,2024,Officer,Lieutenant,Operations Officer,False,Military Academy,Military Aviation School,,,Beta,1.76,1.76,1.76,0,,2024-11-27,2034-11-27,10,3
AO24481,Elnur,Hüseynov,Şahin oğlu,M,H9323QG,SJ1844261,HB242572,True,SV3728950,2001-09-19,24,Mingəçevir,Higher Military Education,2020,2024,Officer,Lieutenant,Operations Officer,False,Military Academy,General Military Academy,,,Beta,1.53,1.3,1.3,0,,2021-08-02,2028-08-02,7,4
AO12508,Fuad,Rüstəmov,Kamran oğlu,M,6VMVLC8,VE6712430,HB127178,True,SV0910110,1989-12-02,36,Goranboy,Higher Civilian Education,2008,2012,Officer,Major,Flight Control Officer,False,Civilian Direct Commission,,,,Beta,14.05,2.84,2.84,0,,2024-08-02,2027-08-02,3,4
AO23007,Tofiq,İbrahimov,Şahin oğlu,M,74QWMZ6,VV0657802,HB234739,True,SV1231659,2001-05-31,25,İmişli,Higher Military Education,2019,2023,Officer,Lieutenant,Flight Control Officer,False,Military Academy,General Military Academy,,,Beta,2.57,2.57,2.57,0,,2025-12-30,2032-12-30,7,5
AO21316,Cavid,Musaov,Vaqif oğlu,M,D3TSXTV,YX5984683,HB216543,True,SV5357349,1999-07-26,26,Bakı,Higher Civilian Education,2017,2021,Officer,Senior Lieutenant,Flight Control Officer,False,Civilian Direct Commission,,,,Beta,4.72,4.19,1.19,1,2025-04-22,2024-03-16,2029-03-16,5,1
AO21906,Vüsal,Vəliov,Aqşin oğlu,M,L2847SU,PC4128223,HB215722,True,SV5203448,1998-02-10,28,Bərdə,Higher Military Education,2017,2021,Officer,Senior Lieutenant,Training & Standardization Officer,False,Military Academy,General Military Academy,,,Beta,5.35,5.35,2.35,1,2024-02-23,2024-12-30,2029-12-30,5,1
AO24203,Elşən,Şıxəliov,Vaqif oğlu,M,4P55HWV,AU3305152,HB241052,True,SV7345522,2000-09-29,25,Goranboy,Higher Military Education,2020,2024,Officer,Lieutenant,Training & Standardization Officer,False,Military Academy,Military Aviation School,,,Beta,2.29,2.29,2.29,0,,2026-04-29,2029-04-29,3,2
AO20690,Elnur,Sultanov,Kənan oğlu,M,ETRWGVZ,FB7390643,HB202754,True,SV5039694,1999-10-06,26,Mingəçevir,In-Service Officer Commissioning Program,2018,2020,Officer,Senior Lieutenant,Training & Standardization Officer,False,Prior Enlisted (Gizir) Commission,,1.25,UAV Operator,Beta,5.59,1.97,1.97,0,,2024-12-26,2027-12-26,3,4
AO19316,Anar,Əliov,Vüqar oğlu,M,754AYDQ,AF5252471,HB195562,True,SV0560127,1998-11-27,27,Yevlax,In-Service Officer Commissioning Program,2017,2019,Officer,Captain,Pilot-Operator,False,Prior Enlisted (Gizir) Commission,,3.45,UAV Operator,Beta,7.19,4.64,1.64,1,2024-11-08,2025-05-17,2035-05-17,10,3
AO20211,Elvin,Hüseynov,Namiq oğlu,M,5WHN9DL,WN1549025,HB200034,True,SV3133629,2000-11-24,25,Salyan,In-Service Officer Commissioning Program,2018,2020,Officer,Senior Lieutenant,Pilot-Operator,False,Prior Enlisted (Gizir) Commission,,2.96,UAV Operator,Beta,5.58,3.51,0.51,1,2025-12-26,2019-11-24,2029-11-24,10,3
AO14299,Ramin,Nağıov,Anar oğlu,M,E6XCN8V,RF2199352,HB141716,True,SV5883751,1990-07-31,35,Mingəçevir,Higher Military Education,2010,2014,Officer,Major,Pilot-Operator,False,Military Academy,General Military Academy,,,Beta,12.16,5.45,2.45,1,2024-01-18,2026-03-17,2036-03-17,10,5
AO23728,Fuad,Quliyov,Elvin oğlu,M,26PPQ76,YG7117625,HB232451,True,SV2636456,2000-08-22,25,Tovuz,Higher Military Education,2019,2023,Officer,Lieutenant,Pilot-Operator,False,Military Academy,Military Aviation School,,,Beta,2.74,2.74,2.74,0,,2025-07-19,2028-07-19,3,2
AO22709,Ceyhun,Məmmədov,Ramin oğlu,M,8HXGGF8,LQ6884768,HB220175,True,SV3955670,1999-10-09,26,Şirvan,Higher Military Education,2018,2022,Officer,Senior Lieutenant,Pilot-Operator,False,Military Academy,General Military Academy,,,Beta,4.45,1.97,1.97,0,,2024-03-16,2027-03-16,3,4
AO18592,Tural,Qaraov,Emin oğlu,M,N28GQ62,GD2969460,HB184173,True,SV1585330,1994-04-09,32,Zaqatala,Higher Civilian Education,2014,2018,Officer,Captain,Pilot-Operator,False,Civilian Direct Commission,,,,Beta,8.47,5.39,2.39,1,2024-02-09,2023-10-22,2028-10-22,5,5
AO18652,İlkin,Sultanov,Kamran oğlu,M,YDDQMSN,UN9337956,HB188308,True,SV8174374,1994-12-10,31,Naxçıvan,Higher Military Education,2014,2018,Officer,Captain,Pilot-Operator,False,Military Academy,General Military Academy,,,Beta,7.79,1.45,1.45,0,,2023-04-04,2028-04-04,5,1
AO24038,Turanə,Səfərova,İlkin qızı,F,A6HURPC,QF5658016,HB241371,True,SV8682904,2002-08-03,23,Naxçıvan,Higher Military Education,2020,2024,Officer,Lieutenant,Pilot-Operator,False,Military Academy,General Military Academy,,,Beta,1.9,1.9,1.9,0,,2025-01-02,2028-01-02,3,2
AO23051,Fuad,Cəfərov,Murad oğlu,M,MB2L642,WB4183422,HB232364,True,SV5950767,2000-03-11,26,Şamaxı,Higher Military Education,2019,2023,Officer,Lieutenant,Pilot-Operator,False,Military Academy,General Military Academy,,,Beta,2.92,2.92,2.92,0,,2024-09-22,2034-09-22,10,4
AO25210,Şahin,Fərəcov,Ruslan oğlu,M,ZR36HKG,CM7726403,HB253167,False,,2002-05-14,24,Şəki,Higher Military Education,2021,2025,Officer,Lieutenant,Pilot-Operator,False,Military Academy,Military Aviation School,,,Beta,1.08,1.08,1.08,0,,2025-11-05,2030-11-05,5,1
AO25050,Rəşad,Məmmədov,Sənan oğlu,M,LNU84G4,YM4011488,HB252998,True,SV8905565,2002-09-01,23,Bakı,Higher Military Education,2021,2025,Officer,Lieutenant,Pilot-Operator,False,Military Academy,General Military Academy,,,Beta,1.32,1.32,1.32,0,,2023-09-30,2028-09-30,5,2
AO24602,Fərid,Məmmədov,Rövşən oğlu,M,W4UNV52,SH0442492,HB242896,True,SV1779404,2000-09-25,25,Salyan,Higher Military Education,2020,2024,Officer,Lieutenant,Pilot-Operator,False,Military Academy,Military Aviation School,,,Beta,1.93,1.93,1.93,0,,2026-01-17,2029-01-17,3,2
AO23001,Sənan,Yusifov,Elnur oğlu,M,GBN5DKB,WW3817707,HB231851,True,SV2225762,2002-03-04,24,Naxçıvan,In-Service Officer Commissioning Program,2021,2023,Officer,Lieutenant,Pilot-Operator,False,Prior Enlisted (Gizir) Commission,,1.86,UAV Operator,Beta,2.86,2.86,2.86,0,,2023-11-17,2026-11-17,3,3
AO16430,İlkin,Sultanov,Namiq oğlu,M,UFK6TBA,XB3037866,HB164267,True,SV3317809,1995-11-17,30,Zaqatala,In-Service Officer Commissioning Program,2014,2016,Officer,Captain,Pilot-Operator,False,Prior Enlisted (Gizir) Commission,,3.87,UAV Operator,Beta,9.5,4.78,1.78,1,2024-09-18,2024-08-06,2031-08-06,7,5
AO23143,Şahin,Cəfərov,Anar oğlu,M,8E6JMF7,HW3401482,HB236155,True,SV5547150,2002-01-28,24,Şamaxı,In-Service Officer Commissioning Program,2021,2023,Officer,Lieutenant,Pilot-Operator,False,Prior Enlisted (Gizir) Commission,,1.58,UAV Operator,Beta,2.58,2.58,2.58,0,,2021-07-11,2028-07-11,7,5
AO24756,Rövşən,Səfərov,Orxan oğlu,M,L4U3P3T,FR0954545,HB242487,False,,2000-11-23,25,Naxçıvan,Higher Civilian Education,2020,2024,Officer,Lieutenant,Pilot-Operator,False,Civilian Direct Commission,,,,Beta,2.42,2.19,2.19,0,,2025-09-11,2030-09-11,5,3
AO12366,Tofiq,Səfərov,Sənan oğlu,M,BGEU232,RL2642827,HB124686,True,SV9979956,1990-09-20,35,Salyan,Higher Military Education,2008,2012,Officer,Major,Pilot-Operator,False,Military Academy,Military Aviation School,,,Beta,13.56,5.07,2.07,1,2024-06-04,2022-09-15,2032-09-15,10,4
AO24395,Zaur,Nağıov,Elşən oğlu,M,DKAPUWY,KL2115834,HB241546,True,SV8106186,2002-04-13,24,Mingəçevir,Higher Military Education,2020,2024,Officer,Lieutenant,Pilot-Operator,False,Military Academy,General Military Academy,,,Beta,2.09,2.09,2.09,0,,2026-06-27,2036-06-27,10,1
AO23430,Ruslan,Cəfərov,Cavid oğlu,M,TQMFVU5,FN4539571,HB232886,True,SV6179974,2002-01-02,24,Sumqayıt,In-Service Officer Commissioning Program,2021,2023,Officer,Lieutenant,Pilot-Operator,False,Prior Enlisted (Gizir) Commission,,1.77,UAV Operator,Beta,2.77,2.77,2.77,0,,2020-04-07,2030-04-07,10,5
AO24998,Turanə,Xəlilova,İlkin qızı,F,UV6TAQ6,PH3921653,HB242832,False,,2001-12-17,24,Quba,Higher Military Education,2020,2024,Officer,Lieutenant,Pilot-Operator,False,Military Academy,Military Aviation School,,,Beta,1.59,1.59,1.59,0,,2025-09-19,2035-09-19,10,1
G22440,İlkin,Kərimov,Fuad oğlu,M,VKCS5JE,GW0115148,HB227168,True,SV7478301,2001-04-15,25,Mingəçevir,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Beta,3.95,3.89,0.89,1,2025-08-09,2023-03-20,2028-03-20,5,4
G11589,Tofiq,Qaraov,Kamran oğlu,M,GZMW2DF,KH7753741,HB110760,False,,1990-04-02,36,Bakı,Vocational/Technical College,2009,2011,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Beta,14.74,3.06,0.06,1,2026-06-09,2024-07-07,2027-07-07,3,3
G23771,Tural,Musaov,Rəşad oğlu,M,7W8P75L,GC6377751,HB236174,True,SV6156800,2001-02-28,25,Şirvan,Vocational/Technical College,2021,2023,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Beta,3.48,3.24,0.24,1,2026-04-04,2021-09-08,2026-09-08,5,4
G17117,Orxan,Hacıov,Tural oğlu,M,8X48WYD,WD6859862,HB176403,True,SV9692497,1997-02-18,29,Qazax,Vocational/Technical College,2015,2017,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Beta,8.66,4.63,1.63,1,2024-11-12,2026-05-25,2029-05-25,3,3
G15417,Tural,Şıxəliov,Ramin oğlu,M,8JQR7VF,MD7269710,HB151023,True,SV2481696,1995-06-15,31,Quba,Vocational/Technical College,2013,2015,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Beta,10.72,1.37,1.37,0,,2024-08-02,2029-08-02,5,2
G24483,Şahin,Səfərov,Cavid oğlu,M,NZ3CHNY,UC5933096,HB241249,True,SV8387225,2003-08-03,22,Goranboy,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Beta,1.51,1.51,1.51,0,,2023-12-01,2028-12-01,5,2
G24819,Orxan,Səfərov,Vaqif oğlu,M,WZEGZUR,BN3584900,HB246096,False,,2003-11-14,22,Gəncə,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Beta,2.03,2.03,2.03,0,,2024-06-04,2027-06-04,3,4
G22927,Aqşin,Musaov,Aqşin oğlu,M,TZHCZRA,XQ2606980,HB226993,True,SV8081560,2002-03-29,24,Şəki,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Beta,4.02,4.02,1.02,1,2025-06-23,2024-03-16,2029-03-16,5,4
G24599,Sənan,Hüseynov,Murad oğlu,M,TL8GBFC,GU1312517,HB244850,True,SV3180097,2003-07-10,22,Bərdə,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Beta,2.3,2.3,2.3,0,,2024-06-26,2029-06-26,5,3
G25161,Günel,İbrahimova,Tofiq qızı,F,JQHFYVY,QC8345199,HB250280,True,SV8954620,2004-06-22,22,Şirvan,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Beta,1.19,1.19,1.19,0,,2023-01-14,2028-01-14,5,2
G13723,Ceyhun,Musaov,Tural oğlu,M,BMGJV6Q,CB5105024,HB133695,True,SV4782122,1992-02-16,34,Ağdam,Vocational/Technical College,2011,2013,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Beta,13.0,5.84,2.84,1,2023-08-28,2025-08-13,2030-08-13,5,2
G24135,Elnur,Tağıov,Vüsal oğlu,M,7QNEZW9,ED6018413,HB248378,False,,2003-06-27,23,Yevlax,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Beta,2.26,2.1,2.1,0,,2024-01-29,2029-01-29,5,2
G21624,Aqşin,Nağıov,Anar oğlu,M,C5R9U4J,TT2358515,HB218892,True,SV9047054,2000-03-31,26,Şirvan,Vocational/Technical College,2019,2021,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Beta,4.67,4.19,1.19,1,2025-04-22,2025-08-24,2030-08-24,5,4
G08986,Vüsal,Tağıov,Elnur oğlu,M,MH9AXFQ,PQ9417186,HB083388,True,SV0636527,1987-04-29,39,Yevlax,Vocational/Technical College,2006,2008,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Beta,18.18,1.42,1.42,0,,2023-01-10,2028-01-10,5,5
G21223,Fuad,Şıxəliov,Ceyhun oğlu,M,B8X6DMV,JE5072921,HB211371,True,SV9592723,2000-09-18,25,Quba,Vocational/Technical College,2019,2021,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Beta,4.63,2.04,2.04,0,,2023-05-25,2028-05-25,5,5
G23268,Ruslan,Səfərov,Ruslan oğlu,M,4RT46QM,SS9818031,HB235251,False,,2002-02-01,24,Sumqayıt,Vocational/Technical College,2021,2023,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Beta,3.05,2.39,2.39,0,,2025-06-16,2028-06-16,3,1
G25106,Ruslan,İbrahimov,Tofiq oğlu,M,APX7RPZ,AE0885356,HB255007,False,,2005-01-06,21,Xaçmaz,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Beta,1.15,1.15,1.15,0,,2026-01-17,2029-01-17,3,5
G25990,Elnur,Fərəcov,Vaqif oğlu,M,3FJR92B,JL1972986,HB251047,True,SV1203121,2004-01-10,22,İmişli,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Beta,1.14,1.14,1.14,0,,2024-03-16,2029-03-16,5,1
G15161,Emin,Rəhimov,Namiq oğlu,M,DA7287E,ZP5628979,HB150977,True,SV7793140,1994-01-20,32,İmişli,Vocational/Technical College,2013,2015,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Beta,11.11,5.89,2.89,1,2023-08-10,2025-02-22,2028-02-22,3,1
G22969,Fərid,Həsənov,Tural oğlu,M,VGS32GC,WS9934650,HB222326,True,SV3743033,2002-04-02,24,Zaqatala,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Beta,3.63,3.01,0.01,1,2026-06-27,2023-05-18,2030-05-18,7,5
G25008,Namiq,Cəfərov,Kamran oğlu,M,39P6EUC,EM8909704,HB250745,False,,2005-04-24,21,Ağdam,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Beta,1.01,1.01,1.01,0,,2021-07-15,2026-07-15,5,2
